trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
57cfafbd96052a84735034ec50e6036865f1d2bc,c4a594a1f522860a7f91aca9a3cccbef723a1178f1fde92ea31bdb1fae73aa7b96e17e25603e962dc3081c1368d353502ecb5de1b0f2ad25cc0169aa07310f3d,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,669,6.9,,,8.0,77.0,18.75,0.0,0.0,0.0,18.75,Cash,Globe Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.9867118,-87.663416405,POINT (-87.6634164054 41.9867117999)
501b9940862cadee43ca217f3cd959301928567b,a2f9259e36090590c13ea7f18e6b97ab179190b31f5791970b07a8a291e9a5c4441734d6d166f8749b703fc80294c9ad4b705e844f6234e6fa0be9c78da15f73,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,653,4.62,,,32.0,22.0,16.29,4.06,0.0,0.0,20.35,Mobile,City Service,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205)
ee9930bc3243dab642759c1a644ecf12b08b0c96,847cf962bd6f62040673e6c24c24940aeb2d7fdaa54677eed6a0aaa4aeef61984916b32d763b4baa6c32476531543bb77e2346cd64f505618f6b9d562243f950,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,300,0.6,,,8.0,8.0,5.25,4.0,0.0,3.0,12.25,Credit Card,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
7b90883bdc62e2e8861d4381488503376e8b7a18,bb6b240ec1c7f81d5172ba0542c877115b459bb4dda1ab05b702b13bfbade6998c07cccf0607decfff9c403e40d08a631e7b5e946a8ebdc5dc4f36e662246e58,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,714,0.0,,,8.0,33.0,11.0,2.73,0.0,0.0,13.73,Mobile,5 Star Taxi,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
6126450341cc52c370ddd865e31730695825ee25,a030e6189cee598b516978caa72ad33839a0bccece8353bc7d4fe68dcf1c8cd653436d78ed9c0f33d6071c9c036a291371b5c6ea7212588c1dcfb34fc39bc02d,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,1335,12.2,,,,4.0,31.5,5.4,0.0,4.0,41.4,Mobile,Sun Taxi,,,,41.975170943,-87.687515515,POINT (-87.6875155152 41.9751709433)
8adc9827df6f6d896ae5be513932f115b4c31075,756721b3418247472431e2bd1022cc8ce0806af1b6b7dfeb3927318f86819fc67bf385b5829a0f13e006d05aed02020e7c1801204414d5eadf17b3e2ce71ce14,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,569,1.88,,,8.0,28.0,8.75,0.0,0.0,0.0,8.75,Cash,Medallion Leasin,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
a2697ad1262983e2a2f6d1c64e6e93437ed7db1e,58a80cdb3c9c1a43c90bb9b1d4faa5da222f6b7cf92bc55bd4d0ab6293924f7516091832597425ff50cf147f0f60631bbf079aa4cbd467a437deae0324fbdb9a,2023-01-12T23:45:00.000,2023-01-13T00:15:00.000,1561,14.89,,,76.0,,37.5,8.8,0.0,6.0,52.8,Credit Card,5 Star Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
142efe54a1e387a3831392c59309d8f15b4017bb,4c8b6783201bdc422fd78043aceeea92a005af4c37bba75557fec78e817ed60d9842b167724bc63a2dcd7368b4d467b0ed2da2025f36e7749fbf3d1e42735083,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,4,0.0,,,7.0,7.0,59.75,0.0,0.0,0.0,60.25,Credit Card,Blue Ribbon Taxi Association,41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843),41.922686284,-87.649488729,POINT (-87.6494887289 41.9226862843)
84f515c69f2fe68cb9c9217ccbb36624ae0b324b,c3cd77364e0d1be3c6dbc6370b7fd5d73e0c509ed1a5a5ecbdb39520be16340f19a681864df28f1a8a9798e70b8057213b7e77745c8d833b64a34e8fb541565a,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,504,3.1,,,8.0,6.0,10.75,2.0,0.0,0.0,13.25,Credit Card,Star North Taxi Management Llc,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
57bb51ef5064541a7f4952fa1e4d68c31f7b3eb3,c50a9a5429a22e934bf88c9a13e08de2ea5b35bd4f78a8cd483501a60305df19550106199ffec0164a6d903a8bf30c976782d1d5ab16df01121c356e1c38b20a,2023-01-12T23:45:00.000,2023-01-13T00:15:00.000,1324,12.2,,,,,31.25,7.15,0.0,4.0,42.9,Credit Card,Chicago Independents,,,,,,
4650f92ee800e6adbbb5c099557a181ea99829ed,2130bc5fd239a4e3b304662424fb4cc7db0ca7abf78cc548f0ca8a6cee8fc3cb2e029cbd0db9a48b47c50cbb864ec1b70fd438dde4b789123292c8f4cbcf166f,2023-01-12T23:45:00.000,2023-01-13T00:15:00.000,1260,13.2,,,76.0,6.0,33.0,9.35,0.0,4.0,46.35,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
478bac867f28405fe9b7c2b44f252ca3fb109b0d,e8ebe1fb12cc70947d4031ad2982bd07dee6c4a3b7d381a92b70556f0ced7d2eef3b5b88a5f8e6322f596607e57e23f9241a760dae0ad96d6c6282892ade803e,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,813,11.9,,,27.0,25.0,30.25,0.0,0.0,0.0,30.25,Prcard,5 Star Taxi,41.878914496,-87.70589713,POINT (-87.7058971305 41.8789144956),41.890608853,-87.756046711,POINT (-87.7560467111 41.8906088526)
f967602576e607c87cc2e954a559d5bc6e9ead29,4b034948aceedd53262ae713f864b0364953a1852b6b24669f192cad26c5014f1af0b6c87b941abb1fa93e1abbe09f70d7f02d48e5371d2c55534b68565a3060,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,626,3.77,,,6.0,8.0,12.75,2.75,0.0,0.5,16.5,Credit Card,Sun Taxi,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
3e91ed3c98cabc907a1b8c2654d13144dcb7ee4b,91a036e3de3c1f459f2664801ea9388870751ae14e196e5be1caa84093318244f75aad0dbecdb8f5f6d2fb9ceec9c03c57acb5309769a88c68d06a49b157dae8,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,234,1.02,,,28.0,28.0,11.0,2.67,0.0,0.0,13.67,Mobile,City Service,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
1b825b52ad7cf1da3d767a1bf4604c42ccfb64d8,c6a059410092fa960357f82b5334dd990bd703f4af5b0b151233f92a9accef3bf8a5d6a19796d524408480c039c97f3b743e5f675a72c65a140a1a77d8c532af,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,660,0.1,,,8.0,32.0,9.25,0.0,0.0,0.0,9.25,Cash,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
de1993526c70a5f062e59b6adf988e74d542755e,624a6a680c34b514659e430a8c859b763e61c2cd9f0e2f076fe0b2bc6157670cf884a9fb4dca2bd996ba2ae7315f9527cb1fd3fda8e0ab7641f247bb3dfb560e,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,103,0.0,,,,,15.0,2.33,0.0,0.0,17.83,Credit Card,Chicago Independents,,,,,,
6de66f953ff9cdc80b0419c5146fff66e46067a6,b5a0dd68699c0bb8cfe22442f438e3291ad2f57aa69241b9c61b20899b8aca93f1a0dc1e6a324355f51a78420fc2657e60bf1b834dc04753038f8496ad71f044,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,1260,15.3,,,76.0,24.0,38.0,8.5,0.0,4.0,50.5,Credit Card,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
25c562ce08625c79f0105f29367891137fc8faba,0cae7ec64456b1830bd58df1991f046410f5506cf28b3aa16b6d5c4940b44ff0ca069324233093161b43d212c2c5eac61536cfa6e3284117bb62ee4105e945b1,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,1440,0.6,,,3.0,8.0,26.25,0.0,0.0,0.0,26.25,Unknown,Taxi Affiliation Services,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
67e5aeb54f69b0c2a74f29adbf7c8394c41949a9,03cdfa4291ebcbd78058182c49229656ca85cb7f6396d8787c5171d2fefa44efb3f428b8992df559522c9c920b5146da90656071faed8e59b627971a86714c83,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,1323,14.6,,,76.0,,36.25,9.19,0.0,24.5,70.44,Credit Card,Globe Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
17e085754c52697d6e449032b23a2a07aa05fcab,4b034948aceedd53262ae713f864b0364953a1852b6b24669f192cad26c5014f1af0b6c87b941abb1fa93e1abbe09f70d7f02d48e5371d2c55534b68565a3060,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,6,0.0,,,5.0,5.0,48.0,12.12,0.0,0.0,60.62,Credit Card,Sun Taxi,41.947791586,-87.683834942,POINT (-87.6838349425 41.9477915865),41.947791586,-87.683834942,POINT (-87.6838349425 41.9477915865)
e461e8f8dee355bcb95f83d94b48997e26e70eaf,7cb607b940a690e65b20dec20182d2646d3306f725130c6567b45dff33b1d5b065399e33615a630057f59f9c6e9c8d019c2797dcaa8020e19af7fceaa71f3d2a,2023-01-12T23:45:00.000,2023-01-13T00:15:00.000,1860,15.1,,,76.0,6.0,38.25,8.45,0.0,4.0,50.7,Mobile,Globe Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014)
9644227fe6a90d82dedcee9097f23099485d2180,86b07dc8beb256766f2025da2b99b77345074852eabbdfe6aa9b7e38929276847ab4115476448a8298890d00d521a45e18bedf1cd52feb6285d1a0bf4be3f19f,2023-01-12T23:45:00.000,2023-01-13T00:00:00.000,1225,17.29,,,76.0,32.0,42.5,9.4,0.0,4.0,56.4,Credit Card,Sun Taxi,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
ac32cccfe5e94b5069b6822b6715f9b968a9f61f,7ed122481c0964a5555309bf4696e25bbf7def086d7ecb94b4910b6129501468f748621f8c51a9e0daaaa8ecca9624925356a53e2860cefdbc3caf730404d9a9,2023-01-12T23:45:00.000,2023-01-12T23:45:00.000,0,0.0,,,,,3.25,0.0,0.0,6.0,9.25,Cash,"Taxicab Insurance Agency, LLC",,,,,,
