trip_id,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_centroid_latitude,pickup_centroid_longitude,pickup_centroid_location,dropoff_centroid_latitude,dropoff_centroid_longitude,dropoff_centroid_location
080a58e22dc9cc5f512cb95ca8343faf396f76c8,1acb04c857af31081be646567d63ac255fd46acef2c3f13733692d8f38ef364e77fe4d8439adcaf33d28c3f2234a4e51c43b2523e6dfcff525739e9cb6903bb6,2023-01-03T23:45:00.000,2023-01-04T00:00:00.000,1036.0,9.79,,,69.0,8.0,26.0,0.0,0,0.0,26.0,Prcard,Globe Taxi,41.763246799,-87.616134111,POINT (-87.6161341112 41.7632467988),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
0b815128e00121335036286174b73c54789032bc,53d724d02916c04d76beef558145e8afbab8a87d5d48f9e20e84265bbd5d6f61aaa9d3fefdb82d1be8485a9a2e3d8d3df05c99375fea374ae84fd5826c838863,2023-01-03T23:45:00.000,2023-01-04T00:00:00.000,1320.0,12.6,,,56.0,24.0,32.0,0.0,0,5.0,37.0,Cash,Taxi Affiliation Services,41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603),41.901206994,-87.676355989,POINT (-87.6763559892 41.9012069941)
50de389f14d7a45ac69c73d57c74b22d973da833,e8ebe1fb12cc70947d4031ad2982bd07dee6c4a3b7d381a92b70556f0ced7d2eef3b5b88a5f8e6322f596607e57e23f9241a760dae0ad96d6c6282892ade803e,2023-01-03T23:45:00.000,2023-01-04T00:00:00.000,686.0,10.39,,,25.0,35.0,26.75,0.0,0,0.0,26.75,Prcard,5 Star Taxi,41.890608853,-87.756046711,POINT (-87.7560467111 41.8906088526),41.835117986,-87.618677767,POINT (-87.6186777673 41.8351179863)
014a35c83c8fd6196b9ef2136d077937b6a20304,8db2cff2e5d2e3703f612ee4188053f9cfc620a0861b577f4a98460dc0fd9d419a1824188d37bedf3c8f97943fb051acaf9d645e30e56c90c45a966311b17b66,2023-01-03T23:45:00.000,2023-01-04T00:15:00.000,1083.0,12.23,,,76.0,22.0,31.25,7.15,0,4.0,42.9,Credit Card,Flash Cab,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.92276062,-87.699155343,POINT (-87.6991553432 41.9227606205)
e2a533d00d50db9d97bb9f8e0a477023496efaa0,356744753023949fa63be6a6d7e0aef31f2d50dd3b0258449c6b8b6d277765da6955b1ef88c72ca79a9db0d3c20b162fce7cd9ec113b49da61c12c2c546915d4,2023-01-03T23:45:00.000,2023-01-04T00:30:00.000,2531.0,7.43,,,43.0,,27.0,0.0,0,0.0,27.0,Prcard,Flash Cab,41.761577908,-87.572781987,POINT (-87.5727819867 41.7615779081),,,
a640266e534f8e778853132c23c963eedce33162,9dbc9017d66ff7ca48ae4ac833e8fdc0d3f35333516071f01b82eb14b0290d66c038097b0c336d8b46067da9111ebcdc08fc6d17b71a736b31d01d8ca14a7d9e,2023-01-03T23:45:00.000,2023-01-04T00:15:00.000,1920.0,16.0,,,76.0,,40.25,3.0,0,5.0,48.25,Credit Card,Top Cab Affiliation,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
88b864dff01974d417c6433ec61754c90e30243a,87867da8f769326d50dd5facc1ea7d28eceefb785d5b24e363b9c5156ba00320fd6fee0520b37cdd910c0b3f377763aa205f7ceb73f1b98f359855d8bde29a59,2023-01-03T23:45:00.000,2023-01-04T00:30:00.000,2219.0,18.61,,,76.0,33.0,50.5,0.0,0,5.5,56.0,Cash,Medallion Leasin,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.857183858,-87.620334624,POINT (-87.6203346241 41.8571838585)
d68757e55bf122c8618b9a5c30ec9cf183b011cb,1226e3d8b86299171525b37f43403bc64e9fa3f8aa450209dd7d40a968237353b605ae9085f43da45cc896cb43a4371c3952e92bdc2ea7600c9e95fcdd297f2c,2023-01-03T23:45:00.000,2023-01-04T00:15:00.000,1320.0,10.1,,,76.0,19.0,27.25,0.0,0,4.5,31.75,Cash,Choice Taxi Association,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.927260956,-87.765501609,POINT (-87.7655016086 41.9272609555)
4b74a2a8fbc87f12c446f8463870243528844259,e30325d7d21a95e76154ac70fd5f3cc84547b05fc66042dfa344f43c2f1cf486de46bdc318c9570d6a5476e3000e37acd4a390f8ba9de343608fb4298366bf2a,2023-01-03T23:45:00.000,2023-01-03T23:45:00.000,5.0,0.0,,,,,50.0,15.15,0,0.0,65.65,Credit Card,Chicago Independents,,,,,,
d4bcfa91f974428d05fcfda6888cfb07582e4bdb,3278a0dd17ed3de47adf8cf7236bf8f21f29e62c04394b6074ec30e2710ba95f3f5eece5ed305b5485a68619653693cc73f20de0ece0bf43c9624674782a2404,2023-01-03T23:45:00.000,2023-01-04T00:00:00.000,1440.0,11.1,,,76.0,,28.75,0.0,0,19.5,48.25,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),,,
